sample_id,candidate,raw_score,raw_symmetric_edge_distance,eval_edge,phase29_selector_eligible,phase29_selector_rejection,phase29_selector_adjusted_score,phase29_selector_rule,phase29_selector_shift_delta_dx,phase29_selector_shift_delta_dy,phase29_selector_shift_l1,phase29_selector_raw_improvement,phase29_selector_edge_growth,phase29_selector_support_ratio,phase29_selector_target_edge_gain,phase29_selector_target_p90_gain,phase29_selector_context_edge_delta,phase29_selector_version_effective,phase29_selector_reliability_gate,phase29_selector_v9_note
248_seq534,p29_baseline,19.32387888687649,8.025596141815186,2.7664244174957275,True,,19.32387888687649,v6_baseline,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,v6,strict,v6 baseline row; aligned metrics are not used for selection.
248_seq534,p29_depth_conservative,18.72176063331627,7.588999509811401,5.088186740875244,False,depth/reflection/edge guard candidates are diagnostic-only by default,18.72176063331627,diagnostic_guard_block,0.0,0.0,0.0,0.6021182535602208,1.047945205479452,0.9205036234536271,0.5107500553131104,0.8075485229492188,-0.4365966320037842,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
248_seq534,p29_reflection_guard,18.70892148906639,7.588999509811401,5.088186740875244,False,depth/reflection/edge guard candidates are diagnostic-only by default,18.70892148906639,diagnostic_guard_block,0.0,0.0,0.0,0.6149573978100982,1.047945205479452,0.9205036234536271,0.5107500553131104,0.8075485229492188,-0.4365966320037842,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
248_seq534,p29_small_target_guard,17.399352793863365,10.834891259670258,2.808555841445923,False,raw symmetric edge improvement -2.8093 is below 0.0350,17.619352793863364,small_target_guard_block,0.0,0.0,0.0,1.9245260930131245,0.06653620352250489,0.03916257960617817,-3.171446055173874,-1.2028651237487793,2.809295117855072,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
248_seq534,p29_edge_contamination_guard,21.027165732227367,11.340280085802078,5.088186740875244,False,depth/reflection/edge guard candidates are diagnostic-only by default,21.027165732227367,diagnostic_guard_block,0.0,0.0,0.0,-1.7032868453508776,0.1095890410958904,0.13051753165946856,-3.01451712846756,-2.6402922868728638,3.3146839439868927,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
248_seq534,p29_v9_support_gated,27.483609356384946,16.25989431142807,1.4167718887329102,False,v9 reflection gate lacks enough rejected background evidence,10.03081,v9_reflection_block,0.0,0.0,0.0,-8.159730469508457,0.20645792563600782,0.956957762974892,-6.892774999141693,-11.77951967716217,8.234298169612885,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
248_seq534,p29_v9_support_gated_tight,29.353727292480436,18.150936365127563,1.8310880661010742,False,v9 support candidate mode is diagnostic-only unless a dedicated raw/depth gate allows it,10.15407,v9_mode_block,0.0,0.0,0.0,-10.029848405603946,0.14383561643835616,0.851255398579899,-8.733378291130066,-12.211361050605774,10.125340223312378,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
248_seq534,p29_v9_target_only,19.644745707213808,11.132541090250015,2.264859199523926,False,v9 gate pixels 44980 exceed 22000,10.7938,v9_gate_block,0.0,0.0,0.0,-0.3208668203373186,0.046966731898238745,0.023497547763706904,-3.77601957321167,5.635900020599365,3.1069449484348297,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
248_seq534,p29_v9_depth_thermal,29.30828924079771,18.050618410110474,1.6367428302764893,False,v9 reflection depth-thermal lacks enough rejected background evidence,10.15727,v9_reflection_depth_block,0.0,0.0,0.0,-9.98441035392122,0.14383561643835616,0.928921748041871,-8.468635320663452,-12.078628659248352,10.025022268295288,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
248_seq534,p29_v9_target_silhouette,22.933340739909582,11.59355765581131,1.7694514989852905,False,v9 gate pixels 44980 exceed 22000,10.8278,v9_gate_block,0.0,0.0,0.0,-3.6094618530330926,0.40019569471624267,0.41431813190835226,-3.7433777451515198,-7.166002869606018,3.5679615139961243,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
248_seq534,p29_raw_shift_dx2p5_dy1p0_fill,18.86338003210682,7.564953684806824,3.0461642742156982,False,raw improvement 0.4605 is below 0.6000,18.963380032106823,generic_block,-1.0,-1.0,2.0,0.4604988547696678,1.0293542074363993,1.0,0.5741351842880249,1.0498003959655762,-0.4606424570083618,v6,strict,v6 adds strict raw/depth support-gated selection for v9; aligned metrics remain evaluation-only.
